"Plant.ID","Family","Genus","Species","Cultivar","Sub","Garden.Location","lat","lon","Condition","AA","US","World","Notes"
"1985-80*B","Adoxaceae","Viburnum","hupehense","","","62-NW",42.29194712,-71.12816232,"Good",12,"No","Asia",""
"20189*A","Adoxaceae","Viburnum","setigerum","Aurantiacum","","DGB-16",42.30263223,-71.12453084,"Fair",10,"No","Asia",""
"21064*A","Adoxaceae","Viburnum","recognitum","","","13-SE",42.30223208,-71.12476031,"Good",7,"East",NA,"syn. Dentatum?"
"21418*A","Adoxaceae","Viburnum","rufidulum","","","13-SW",42.30199074,-71.12531638,"Good",15,"Southeast",NA,""
"221-2017*A","Adoxaceae","Viburnum","erosum","","","13-SE",42.30229103,-71.12482938,"Alive",10,"No","Asia",""
"227-2006*C","Adoxaceae","Viburnum","rafinesquianum","","","LG-2I",42.30427811,-71.12401413,"Good",9,"East",NA,""
"237-98*B","Adoxaceae","Viburnum","plicatum","Mary Milton","","LG-8J",42.30356991,-71.12380773,"Good",11,"Invasive","Asia",""
"255-2001*A","Adoxaceae","Viburnum","betulifolium","","","13-SE",42.30227523,-71.12481718,"Good",5,"No","Asia",""
"1903-80*B","Adoxaceae","Viburnum","hupehense","","","EG-32-SE",42.29879036,-71.12195291,"Good",12,"No","Asia",""
"287-2002*B","Adoxaceae","Viburnum","opulus","","calvescens","13-SE",42.30220415,-71.12490242,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"293-85*A","Adoxaceae","Viburnum","dentatum","","indianense","19-NW",42.30189528,-71.12521387,"Fair",32,"East","No",""
"19085*A","Adoxaceae","Viburnum","setigerum","Aurantiacum","","13-SE",42.30214923,-71.12472459,"Good",10,"No","Asia",""
"1985-80*A","Adoxaceae","Viburnum","hupehense","","","62-NW",42.29190911,-71.12814702,"Good",12,"No","Asia",""
"352-78*A","Adoxaceae","Viburnum","opulus","","","DGB-16",42.30275671,-71.12407416,"Alive",19,"East","Holarctic","Unclear taxonomy with trilobum"
"360-95*B","Adoxaceae","Viburnum","dentatum","","","19-NE",42.30137117,-71.12503293,"Alive",32,"East","No",""
"362-95*B","Adoxaceae","Viburnum","hupehense","","septentrionale","13-SW",42.30240233,-71.12508259,"Good",12,"No","Asia",""
"375-97*A","Adoxaceae","Viburnum","burejaeticum","","","EG-15",42.29923046,-71.12186494,"Good",2,"No","Asia",""
"3943-1*D","Adoxaceae","Viburnum","rufidulum","","","13-SE",42.30211276,-71.12465139,"Good",15,"Southeast",NA,""
"398-68*B","Adoxaceae","Viburnum","sargentii","","","19-NW",42.30179389,-71.12527072,"Good",12,"No","Asia",""
"411-2018*B","Adoxaceae","Viburnum","rhytidophyllum","","","13-SE",42.30236772,-71.12495875,"Alive",20,"No","Asia","quasi-invasive"
"1985-80*C","Adoxaceae","Viburnum","hupehense","","","62-NW",42.29192505,-71.12816874,"Good",12,"No","Asia",""
"412-2018*A","Adoxaceae","Viburnum","utile","","","14-NW",42.30260274,-71.12364973,"Alive",11,"No","Asia",""
"412-2018*E","Adoxaceae","Viburnum","utile","","","14-NW",42.3026379,-71.12354869,"Alive",11,"No","Asia",""
"412-2018*F","Adoxaceae","Viburnum","utile","","","14-NW",42.30265308,-71.12356676,"Alive",11,"No","Asia",""
"423-2018*A","Adoxaceae","Viburnum","rhytidophyllum","","","13-NE",42.30255837,-71.12478597,"Good",20,"No","Asia","quasi-invasive"
"423-2018*E","Adoxaceae","Viburnum","rhytidophyllum","","","13-NE",42.30259139,-71.12473386,"Good",20,"No","Asia","quasi-invasive"
"438-2011*B","Adoxaceae","Viburnum","lantanoides","","","15-NW",42.30297668,-71.12133703,"Good",5,"East",NA,""
"480-97*C","Adoxaceae","Viburnum","rafinesquianum","","","19-SW",42.30132489,-71.1250489,"Good",9,"East",NA,""
"503-84*A","Adoxaceae","Viburnum","plicatum","","tomentosum","19-NE",42.30175733,-71.12447445,"Fair",11,"Invasive","Asia",""
"565-2016*A","Adoxaceae","Viburnum","nudum","Winterthur","","3-NW",42.30730926,-71.12065736,"Good",10,"East",NA,""
"565-2016*G","Adoxaceae","Viburnum","nudum","Winterthur","","3-NW",42.30724188,-71.1207334,"Good",10,"East",NA,""
"57-81*A","Adoxaceae","Viburnum","rhytidophyllum","","","13-NE",42.30255999,-71.12462327,"Good",20,"No","Asia","quasi-invasive"
"57-81*B","Adoxaceae","Viburnum","rhytidophyllum","","","13-NE",42.30256543,-71.12460845,"Good",20,"No","Asia","quasi-invasive"
"577-87*A","Adoxaceae","Viburnum","setigerum","Aurantiacum","","EG-13",42.29916713,-71.12181617,"Good",10,"No","Asia",""
"577-87*C","Adoxaceae","Viburnum","setigerum","Aurantiacum","","EG-14",42.29926953,-71.12175641,"Good",10,"No","Asia",""
"584-2008*A","Adoxaceae","Viburnum","acerifolium","","","14-NW",42.30265238,-71.12375753,"Good",5,"East",NA,""
"593-2008*D","Adoxaceae","Viburnum","cassinoides","","","19-NE",42.30183491,-71.1249499,"Fair",9,"Northeast","No","syn. Nudum?"
"68-2017*F","Adoxaceae","Viburnum","obovatum","","","EG-13",42.29904875,-71.12182811,"Alive",2,"Southeast",NA,""
"719-88*C","Adoxaceae","Viburnum","opulus","","calvescens","14-NW",42.30278655,-71.12360197,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"1964-80*A","Adoxaceae","Viburnum","betulifolium","","","13-SE",42.3021534,-71.12468774,"Good",5,"No","Asia",""
"79-90*B","Adoxaceae","Viburnum","sargentii","","","EG-14",42.29924434,-71.1216105,"Good",12,"No","Asia",""
"80-81*C","Adoxaceae","Viburnum","hupehense","","","19-NW",42.30174208,-71.1253113,"Good",12,"No","Asia",""
"87-2015*D","Adoxaceae","Viburnum","opulus","","calvescens","LG-8I",42.3037328,-71.12395523,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"963-85*B","Adoxaceae","Viburnum","erosum","","","19-NW",42.30175232,-71.1252981,"Good",10,"No","Asia",""
"963-85*C","Adoxaceae","Viburnum","erosum","","","19-NW",42.30176357,-71.12526228,"Good",10,"No","Asia",""
"2047-77*A","Adoxaceae","Viburnum","carlesii","","carlesii","13-SE",42.30240017,-71.12419919,"Fair",8,"No","Asia",""
"20449*A","Adoxaceae","Viburnum","dilatatum","","","13-SW",42.30200547,-71.12509993,"Good",27,"Invasive","Asia",""
"2047-77*B","Adoxaceae","Viburnum","carlesii","","carlesii","13-SE",42.30240377,-71.12423882,"Good",8,"No","Asia",""
"206-2004*A","Adoxaceae","Viburnum","lobophyllum","","","13-NE",42.30257344,-71.12445077,"Good",4,"No","Asia",""
"206-96*C","Adoxaceae","Viburnum","lantana","","","19-NW",42.30184286,-71.12532121,"Poor",5,"No","Europe",""
"20732*A","Adoxaceae","Viburnum","dentatum","","pubescens","13-SW",42.30205443,-71.12512129,"Good",32,"East","No",""
"21064*B","Adoxaceae","Viburnum","recognitum","","","13-SW",42.30206985,-71.12518432,"Good",7,"East",NA,"syn. Dentatum?"
"206-2004*B","Adoxaceae","Viburnum","lobophyllum","","","13-NE",42.30259223,-71.1244551,"Good",4,"No","Asia",""
"2163-65*A","Adoxaceae","Viburnum","carlesii","Aurora","","13-SW",42.30197396,-71.1251157,"Fair",8,"No","Asia",""
"221-2017*B","Adoxaceae","Viburnum","erosum","","","13-SE",42.30226187,-71.12484067,"Alive",10,"No","Asia",""
"222-2017*B","Adoxaceae","Viburnum","erosum","","","13-SE",42.30223745,-71.12491895,"Alive",10,"No","Asia",""
"101-81*A","Adoxaceae","Viburnum","veitchii","","","62-NW",42.29196419,-71.12791908,"Good",5,"No","Asia",""
"101-81*B","Adoxaceae","Viburnum","veitchii","","","62-NW",42.29197492,-71.12792287,"Good",5,"No","Asia",""
"101-38*A","Adoxaceae","Viburnum","dentatum","","indianense","13-SE",42.30212039,-71.12475693,"Good",32,"East","No",""
"101-81*C","Adoxaceae","Viburnum","veitchii","","","62-NW",42.29198693,-71.12791,"Good",5,"No","Asia",""
"103-99*A","Adoxaceae","Viburnum","corylifolium","","","13-SE",42.30234604,-71.12465041,"Good",3,"No","Asia",""
"103-99*B","Adoxaceae","Viburnum","corylifolium","","","13-SE",42.30233244,-71.12468746,"Good",3,"No","Asia",""
"1046-81*C","Adoxaceae","Viburnum","dentatum","","pubescens","39-NE",42.29740537,-71.12934438,"Good",32,"East","No",""
"1046-81*A","Adoxaceae","Viburnum","dentatum","","pubescens","39-NE",42.2974027,-71.12936658,"Good",32,"East","No",""
"1067-87*A","Adoxaceae","Viburnum","bracteatum","Crimson Gem","","52-NE",42.29531807,-71.12243741,"Alive",14,"Southeast",NA,""
"1067-87*B","Adoxaceae","Viburnum","bracteatum","Crimson Gem","","47-SE",42.29533187,-71.12244175,"Alive",14,"Southeast",NA,""
"1068-87*A","Adoxaceae","Viburnum","bracteatum","","","19-SW",42.30119553,-71.12507139,"Good",14,"Southeast",NA,""
"227-2006*A","Adoxaceae","Viburnum","rafinesquianum","","","13-NE",42.30256723,-71.12448059,"Good",9,"East",NA,""
"167-2000*B","Adoxaceae","Viburnum","molle","","leiophyllum","13-SE",42.30202283,-71.12483346,"Good",4,"Midwest",NA,""
"109-79*B","Adoxaceae","Viburnum","cassinoides","","","59-NE",42.29292626,-71.1248835,"Good",9,"Northeast","No","syn. Nudum?"
"1097-60*A","Adoxaceae","Viburnum","opulus","","trilobum","19-SE",42.30089705,-71.12481467,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"228-2014*A","Adoxaceae","Viburnum","nudum","Winterthur","","1-SW",42.30764323,-71.1209163,"Good",10,"East",NA,""
"222-2017*A","Adoxaceae","Viburnum","erosum","","","13-SE",42.30232273,-71.12476013,"Alive",10,"No","Asia",""
"163-2024*B","Adoxaceae","Viburnum","plicatum","Popcorn","","LG-6B",42.30407191,-71.12363207,"Good",11,"Invasive","Asia",""
"167-73*A","Adoxaceae","Viburnum","dilatatum","Catskill","","19-SW",42.30089315,-71.12535293,"Good",27,"Invasive","Asia",""
"167-73*B","Adoxaceae","Viburnum","dilatatum","Catskill","","19-SW",42.30090466,-71.12536428,"Good",27,"Invasive","Asia",""
"1166-83*A","Adoxaceae","Viburnum","lobophyllum","","","13-SE",42.30197389,-71.12481256,"Good",4,"No","Asia",""
"227-2006*B","Adoxaceae","Viburnum","rafinesquianum","","","13-NE",42.30255867,-71.12448887,"Good",9,"East",NA,""
"228-2014*B","Adoxaceae","Viburnum","nudum","Winterthur","","1-SW",42.30765533,-71.12092126,"Good",10,"East",NA,""
"125-81*B","Adoxaceae","Viburnum","ichangense","","atratocarpum","13-SE",42.30212924,-71.12474525,"Good",6,"No","Asia",""
"125-81*A","Adoxaceae","Viburnum","ichangense","","atratocarpum","13-SE",42.30208173,-71.12470406,"Good",6,"No","Asia",""
"1294-83*B","Adoxaceae","Viburnum","lantana","","discolor","19-NW",42.30171684,-71.1252819,"Good",5,"No","Europe",""
"1294-83*A","Adoxaceae","Viburnum","lantana","","discolor","19-NW",42.30171976,-71.12526437,"Good",5,"No","Europe",""
"229-98*A","Adoxaceae","Viburnum","bracteatum","","","13-SE",42.30203643,-71.12479641,"Good",14,"Southeast",NA,""
"133-67*A","Adoxaceae","Viburnum","rhytidophyllum","Roseum","","19-NW",42.30191117,-71.12505273,"Good",20,"No","Asia","quasi-invasive"
"138-52*A","Adoxaceae","Viburnum","dilatatum","","","13-SE",42.30233343,-71.12503881,"Good",27,"Invasive","Asia",""
"1387-82*B","Adoxaceae","Viburnum","rhytidophyllum","","","13-SW",42.30215297,-71.12526364,"Good",20,"No","Asia","quasi-invasive"
"1387-82*A","Adoxaceae","Viburnum","rhytidophyllum","","","13-SW",42.30213366,-71.12527178,"Good",20,"No","Asia","quasi-invasive"
"140-2013*A","Adoxaceae","Viburnum","sargentii","Onondaga","","19-NW",42.30184582,-71.12511298,"Good",12,"No","Asia",""
"138-2019*A","Adoxaceae","Viburnum","cassinoides","SMNVCDD","","LG-8E",42.30366532,-71.12380407,"Fair",9,"Northeast","No","syn. Nudum?"
"1386-82*A","Adoxaceae","Viburnum","rhytidophyllum","","","13-SE",42.30241925,-71.12426665,"Good",20,"No","Asia","quasi-invasive"
"1635-80*A","Adoxaceae","Viburnum","setigerum","","","EG-13",42.29885644,-71.12193338,"Good",10,"No","Asia",""
"1471-83*A","Adoxaceae","Viburnum","dentatum","","lucidum","51-SW",42.29471197,-71.12512558,"Fair",32,"East","No",""
"1452-83*A","Adoxaceae","Viburnum","dilatatum","","","13-SE",42.30198097,-71.12471918,"Good",27,"Invasive","Asia",""
"1471-83*B","Adoxaceae","Viburnum","dentatum","","lucidum","19-NW",42.30182971,-71.12532869,"Good",32,"East","No",""
"23141*A","Adoxaceae","Viburnum","plicatum","Mariesii","","14-NW",42.30291446,-71.12352831,"Fair",11,"Invasive","Asia",""
"232-2006*B","Adoxaceae","Viburnum","veitchii","","","13-SW",42.30192756,-71.12510889,"Good",5,"No","Asia",""
"229-98*B","Adoxaceae","Viburnum","bracteatum","","","13-SE",42.30201727,-71.12481131,"Good",14,"Southeast",NA,""
"158-2004*A","Adoxaceae","Viburnum","sargentii","Onondaga","","LG-8C",42.30379788,-71.12387292,"Good",12,"No","Asia",""
"164-2019*E","Adoxaceae","Viburnum","dentatum","","","BBM3-SE",42.29874302,-71.11755565,"Good",32,"East","No",""
"255-2001*B","Adoxaceae","Viburnum","betulifolium","","","13-SE",42.30228335,-71.12478017,"Good",5,"No","Asia",""
"259-2001*A","Adoxaceae","Viburnum","ichangense","","atratocarpum","13-SE",42.30211092,-71.12491796,"Good",6,"No","Asia",""
"259-2001*B","Adoxaceae","Viburnum","ichangense","","atratocarpum","13-SE",42.30211356,-71.12488837,"Good",6,"No","Asia",""
"268-85*A","Adoxaceae","Viburnum","dentatum","","venosum","13-SE",42.30244292,-71.12435654,"Good",32,"East","No",""
"268-85*D","Adoxaceae","Viburnum","dentatum","","venosum","13-NE",42.30246965,-71.12428968,"Good",32,"East","No",""
"269-32*A","Adoxaceae","Viburnum","dentatum","","pubescens","13-SE",42.30219497,-71.12498235,"Good",32,"East","No",""
"282-2018*A","Adoxaceae","Viburnum","bracteatum","","","DGB-16",42.30263837,-71.12456923,"Good",14,"Southeast",NA,""
"282-2018*B","Adoxaceae","Viburnum","bracteatum","","","DGB-16-NE",42.30262127,-71.12457035,"Alive",14,"Southeast",NA,""
"283-2018*A","Adoxaceae","Viburnum","rufidulum","","","47-SW",42.29534893,-71.12306651,"Alive",15,"Southeast",NA,""
"283-2018*D","Adoxaceae","Viburnum","rufidulum","","","47-SW",42.29536302,-71.12302771,"Alive",15,"Southeast",NA,""
"287-2002*A","Adoxaceae","Viburnum","opulus","","calvescens","13-SE",42.30219587,-71.12488419,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"291-2019*A","Adoxaceae","Viburnum","dentatum","","deamii","47-SE",42.29551817,-71.12285747,"Alive",32,"East","No",""
"291-2019*C","Adoxaceae","Viburnum","dentatum","","deamii","47-SW",42.29552239,-71.12289793,"Alive",32,"East","No",""
"293-2003*C","Adoxaceae","Viburnum","farreri","Nanum","","LG-2E",42.30431625,-71.12393384,"Good",2,"No","Asia",""
"291-2019*B","Adoxaceae","Viburnum","dentatum","","deamii","47-SE",42.29549597,-71.12286399,"Alive",32,"East","No",""
"291-2019*E","Adoxaceae","Viburnum","dentatum","","deamii","47-SE",42.29549039,-71.12279702,"Alive",32,"East","No",""
"291-2019*F","Adoxaceae","Viburnum","dentatum","","deamii","47-SE",42.2954754,-71.122771,"Alive",32,"East","No",""
"291-2019*G","Adoxaceae","Viburnum","dentatum","","deamii","47-SE",42.29546015,-71.1227242,"Alive",32,"East","No",""
"283-2018*C","Adoxaceae","Viburnum","rufidulum","","","47-SW",42.29537884,-71.12304634,"Alive",15,"Southeast",NA,""
"283-2018*E","Adoxaceae","Viburnum","rufidulum","","","47-SW",42.29537276,-71.12301156,"Alive",15,"Southeast",NA,""
"291-2019*D","Adoxaceae","Viburnum","dentatum","","deamii","47-SE",42.29549599,-71.12282103,"Alive",32,"East","No",""
"305-2002*A","Adoxaceae","Viburnum","setigerum","","","13-SE",42.3020915,-71.12485523,"Good",10,"No","Asia",""
"306-90*C","Adoxaceae","Viburnum","lentago","","","13-SW",42.30209218,-71.12571641,"Good",5,"East",NA,""
"306-90*A","Adoxaceae","Viburnum","lentago","","","13-SW",42.30204973,-71.12572829,"Good",5,"East",NA,""
"306-90*B","Adoxaceae","Viburnum","lentago","","","13-SW",42.30206596,-71.12574603,"Good",5,"East",NA,""
"301-86*A","Adoxaceae","Viburnum","lentago","","","13-NE",42.30256013,-71.12466763,"Good",5,"East",NA,""
"312-2018*B","Adoxaceae","Viburnum","wrightii","","","LG-8K",42.30350569,-71.12376176,"Good",3,"No","Asia",""
"1715-81*A","Adoxaceae","Viburnum","lentago","","","13-SE",42.3024341,-71.12429721,"Good",5,"East",NA,""
"340-2014*B","Adoxaceae","Viburnum","rufidulum","","","13-SW",42.30242167,-71.1253058,"Excellent",15,"Southeast",NA,""
"340-2014*A","Adoxaceae","Viburnum","rufidulum","","","13-SW",42.30241561,-71.12526975,"Excellent",15,"Southeast",NA,""
"340-2014*C","Adoxaceae","Viburnum","rufidulum","","","13-SW",42.30245228,-71.12530013,"Excellent",15,"Southeast",NA,""
"340-2014*D","Adoxaceae","Viburnum","rufidulum","","","WH1-SW",42.2954592,-71.13439339,"Good",15,"Southeast",NA,""
"352-78*C","Adoxaceae","Viburnum","opulus","","","DGB-16",42.30275259,-71.12411882,"Alive",19,"East","Holarctic","Unclear taxonomy with trilobum"
"340-2014*E","Adoxaceae","Viburnum","rufidulum","","","WH1-SW",42.29572398,-71.13406939,"Good",15,"Southeast",NA,""
"361-2006*A","Adoxaceae","Viburnum","opulus","","trilobum","19-NW",42.30180631,-71.12511584,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"361-2006*C","Adoxaceae","Viburnum","opulus","","trilobum","LG-2I",42.30429852,-71.12402437,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"362-95*A","Adoxaceae","Viburnum","hupehense","","septentrionale","13-SW",42.30241607,-71.1250899,"Good",12,"No","Asia",""
"362-95*D","Adoxaceae","Viburnum","hupehense","","septentrionale","13-SW",42.30239677,-71.12506044,"Good",12,"No","Asia",""
"360-95*C","Adoxaceae","Viburnum","dentatum","","","19-NE",42.30136415,-71.12502132,"Alive",32,"East","No",""
